dataset	model	lang1	lang2	mrr
nusax	xlmr	javanese	english	0.0006570988922599061
nusax	xlmr	javanese	indonesian	0.018579553535661743
nusax	xlmr	minangkabau	sundanese	0.03776813239225773
nusax	xlmr	minangkabau	banjarese	0.16342798038686915
nusax	xlmr	minangkabau	acehnese	0.03790945851154612
nusax	xlmr	minangkabau	madurese	0.02468866269407443
nusax	xlmr	minangkabau	balinese	0.05048869147245383
nusax	xlmr	minangkabau	buginese	0.006844077992522765
nusax	xlmr	minangkabau	ngaju	0.07538908516891876
nusax	xlmr	minangkabau	javanese	0.030940079567548295
nusax	xlmr	minangkabau	minangkabau	0.0
nusax	xlmr	minangkabau	toba_batak	0.031082521749548495
nusax	xlmr	minangkabau	english	0.0006284030403436503
nusax	xlmr	minangkabau	indonesian	0.03902321091988862
nusax	xlmr	toba_batak	sundanese	0.012096929472355395
nusax	xlmr	toba_batak	banjarese	0.017873754653478124
nusax	xlmr	toba_batak	acehnese	0.015286674108263216
nusax	xlmr	toba_batak	madurese	0.019543822036903705
nusax	xlmr	toba_batak	balinese	0.017453547677764924
nusax	xlmr	toba_batak	buginese	0.014739691097109948
nusax	xlmr	toba_batak	ngaju	0.018516178603071472
nusax	xlmr	toba_batak	javanese	0.007837588431653837
nusax	xlmr	toba_batak	minangkabau	0.03215208990067541
nusax	xlmr	toba_batak	toba_batak	0.0
nusax	xlmr	toba_batak	english	0.0007098510136329414
nusax	xlmr	toba_batak	indonesian	0.002859664939280281
nusax	xlmr	english	sundanese	0.000912562798950577
nusax	xlmr	english	banjarese	0.0017825798596561833
nusax	xlmr	english	acehnese	0.002657042689438789
nusax	xlmr	english	madurese	0.0008008922317923638
nusax	xlmr	english	balinese	0.0010960919210429973
nusax	xlmr	english	buginese	0.00043324785963183625
nusax	xlmr	english	ngaju	0.0018517763561031887
nusax	xlmr	english	javanese	0.0009684840861510526
nusax	xlmr	english	minangkabau	0.0025201276208990328
nusax	xlmr	english	toba_batak	0.001333628565454303
nusax	xlmr	english	english	0.0
nusax	xlmr	english	indonesian	0.018745407766670916
nusax	xlmr	indonesian	sundanese	0.015531352694560848
nusax	xlmr	indonesian	banjarese	0.0661785833943273
nusax	xlmr	indonesian	acehnese	0.012995236952139323
nusax	xlmr	indonesian	madurese	0.00595613021249673
nusax	xlmr	indonesian	balinese	0.02160939267545951
nusax	xlmr	indonesian	buginese	0.0015853587584437033
nusax	xlmr	indonesian	ngaju	0.027754965194803208
nusax	xlmr	indonesian	javanese	0.025544391702102855
nusax	xlmr	indonesian	minangkabau	0.06954674098902913
nusax	xlmr	indonesian	toba_batak	0.005551454898396104
nusax	xlmr	indonesian	english	0.023699954670869838
nusax	xlmr	indonesian	indonesian	0.0
nusax	mbert_cls	sundanese	sundanese	0.0
nusax	mbert_cls	sundanese	banjarese	0.04983656755691855
nusax	mbert_cls	sundanese	acehnese	0.026013471872489376
nusax	mbert_cls	sundanese	madurese	0.03144415480011078
nusax	mbert_cls	sundanese	balinese	0.09036178637362553
nusax	mbert_cls	sundanese	buginese	0.00700187436489231
nusax	mbert_cls	sundanese	ngaju	0.02964846394884075
nusax	mbert_cls	sundanese	javanese	0.14500376636516038
nusax	mbert_cls	sundanese	minangkabau	0.07986760273865817
nusax	mbert_cls	sundanese	toba_batak	0.017162435230656244
nusax	mbert_cls	sundanese	english	0.0001719352208625497
nusax	mbert_cls	sundanese	indonesian	0.062498984843928095
nusax	mbert_cls	banjarese	sundanese	0.05499273832593007
nusax	mbert_cls	banjarese	banjarese	0.0
nusax	mbert_cls	banjarese	acehnese	0.037234100840568655
nusax	mbert_cls	banjarese	madurese	0.039774808822837585
nusax	mbert_cls	banjarese	balinese	0.07390102932349212
nusax	mbert_cls	banjarese	buginese	0.016807871502171542
nusax	mbert_cls	banjarese	ngaju	0.06858405076707419
nusax	mbert_cls	banjarese	javanese	0.056130436387591576
nusax	mbert_cls	banjarese	minangkabau	0.06980445458198828
nusax	mbert_cls	banjarese	toba_batak	0.02805159046046051
nusax	mbert_cls	banjarese	english	0.00024687893680325613
nusax	mbert_cls	banjarese	indonesian	0.08543214001482681
nusax	mbert_cls	acehnese	sundanese	0.031839162585811626
nusax	mbert_cls	acehnese	banjarese	0.04245639769844765
nusax	mbert_cls	acehnese	acehnese	0.0
nusax	mbert_cls	acehnese	madurese	0.050272245108511374
nusax	mbert_cls	acehnese	balinese	0.04502962687156575
nusax	mbert_cls	acehnese	buginese	0.019362353998630774
nusax	mbert_cls	acehnese	ngaju	0.05656393086612042
nusax	mbert_cls	acehnese	javanese	0.033922310403550884
nusax	mbert_cls	acehnese	minangkabau	0.03155011190772879
nusax	mbert_cls	acehnese	toba_batak	0.03230445715057382
nusax	mbert_cls	acehnese	english	0.0002248597761347729
nusax	mbert_cls	acehnese	indonesian	0.02174150003764546
nusax	mbert_cls	madurese	sundanese	0.03691537312635667
nusax	mbert_cls	madurese	banjarese	0.04307493135958222
nusax	mbert_cls	madurese	acehnese	0.046434387045029495
nusax	mbert_cls	madurese	madurese	0.0
nusax	mbert_cls	madurese	balinese	0.051441714120247325
nusax	mbert_cls	madurese	buginese	0.04114562628627636
