Classification	ID	Name
nucl1710/jeee1236/jeme1246	inga1253	Ingain-Kimda
nucl1710/jeee1236/jeme1246/kain1270	kain1271	Kaingangic
nucl1710/jeee1236/jese1235	core1264	Core Northern Je
nucl1710/jeee1236/jese1235/core1264	timb1253	Eastern Timbira
nucl1710/jeee1236/jese1235/core1264/timb1253	sout3244	Southeastern Timbira
nucl1710/maxa1249	maxa1246	Maxakalian
nucl1710/maxa1249/maxa1246	west2636	Western Maxakali
nucl1710/maxa1249/maxa1246	unun9898	Unclassified Maxakalian
misu1242	suma1272	Sumalpan
misu1242/suma1272	sumu1234	Sumuic
misu1242/suma1272	mata1287	Matagalpan
nduu1242	nucl1642	Nuclear Ndu
nduu1242/nucl1642	mana1303	Manambu-Yalaku
nduu1242/nucl1642	sawo1235	Sawosic
nduu1242/nucl1642	ambu1246	Ambulas-Hanga-Hundi
nduu1242/nucl1642/sawo1235	sawo1234	Iatmulic
nduu1242/nucl1642/sawo1235	bund1258	Burui-Gaikundi
sali1297	maco1238	Maco-Piaroa
mand1469	east2697	Eastern Mande
mand1469	west2780	Western Mande
mand1469/east2697	bisa1265	Bisa-Busa
mand1469/east2697	sout3140	Southeastern Mande
mand1469/east2697/bisa1265	samo1302	Samo-Busa
mand1469/east2697/bisa1265/samo1302	busa1252	Busan
mand1469/east2697/bisa1265/samo1302	mand1437	Mande Samo
mand1469/east2697/bisa1265/samo1302/busa1252	kyen1241	Kyenga-Shanga
mand1469/east2697/bisa1265/samo1302/busa1252	boko1265	Boko-Busa
mand1469/east2697/sout3140	guro1245	Mano-Dan
mand1469/east2697/sout3140	nwab1239	Nwa-Ben
mand1469/east2697/sout3140/guro1245	guro1246	Guro-Dan
mand1469/east2697/sout3140/guro1245/guro1246	guro1247	Guro-Yaoure
mand1469/east2697/sout3140/guro1245/guro1246	dant1235	Dan-Toura
mand1469/east2697/sout3140/guro1245/guro1246/dant1235	tour1245	Toura-Goo
mand1469/east2697/sout3140/nwab1239	beng1285	Ben-Gban
mand1469/east2697/sout3140/nwab1239	wanm1243	Wan-Mwan
mand1469/east2697/sout3140/nwab1239	unun9970	Unclassified Nwa-Ben
mand1469/east2697/sout3140/nwab1239/beng1285	beng1291	Bengic
mand1469/west2780	samo1308	Northwestern Mande
mand1469/west2780	mand1431	Manding-Kpelle
mand1469/west2780/samo1308	duun1243	Duun-Bobo
mand1469/west2780/samo1308	soni1257	Soninke-Bozo
mand1469/west2780/samo1308/duun1243	bobo1253	Bobo
mand1469/west2780/samo1308/duun1243	duun1244	Duun-Jo
mand1469/west2780/samo1308/duun1243/duun1244	samo1309	Duun-Seenku
mand1469/west2780/samo1308/duun1243/duun1244/samo1309	duun1245	Duun
mand1469/west2780/samo1308/soni1257	soni1258	Soninkean
mand1469/west2780/samo1308/soni1257	bozo1252	Bozo
